timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-14T09:07:08.365Z,2859,16410,19269,0,0,100.00
2025-05-14T09:07:38.374Z,2888,16572,19460,0,0,100.00
2025-05-14T09:08:08.374Z,2918,16746,19664,0,0,100.00
2025-05-14T09:08:38.375Z,2948,16920,19868,0,0,100.00
2025-05-14T09:09:08.396Z,2978,17094,20072,0,0,100.00
2025-05-14T09:09:38.397Z,3008,17262,20270,0,0,100.00
2025-05-14T09:10:08.385Z,3038,17436,20474,0,0,100.00
2025-05-14T09:10:38.391Z,3068,17610,20678,0,0,100.00
2025-05-14T09:11:08.405Z,3097,17778,20875,0,0,100.00
2025-05-14T09:11:38.404Z,3127,17946,21073,0,0,100.00
2025-05-14T09:12:08.411Z,3157,18120,21277,0,0,100.00
2025-05-14T09:12:38.423Z,3187,18294,21481,0,0,100.00
2025-05-14T09:13:08.433Z,3217,18468,21685,0,0,100.00
2025-05-14T09:13:38.434Z,3247,18630,21877,0,0,100.00
2025-05-14T09:14:08.439Z,3276,18804,22080,0,0,100.00
2025-05-14T09:14:38.442Z,3306,18978,22284,0,0,100.00
2025-05-14T09:15:08.430Z,3336,19152,22488,0,0,100.00
2025-05-14T09:15:38.440Z,3366,19320,22686,0,0,100.00
2025-05-14T09:16:08.455Z,3396,19494,22890,0,0,100.00
2025-05-14T09:16:38.456Z,3425,19662,23087,0,0,100.00
2025-05-14T09:17:08.455Z,3455,19836,23291,0,0,100.00
2025-05-14T09:17:38.468Z,3485,20004,23489,0,0,100.00
2025-05-14T09:18:08.475Z,3515,20178,23693,0,0,100.00
2025-05-14T09:18:38.478Z,3545,20352,23897,0,0,100.00
2025-05-14T09:19:08.478Z,3574,20520,24094,0,0,100.00
2025-05-14T09:19:38.482Z,3604,20694,24298,0,0,100.00
2025-05-14T09:20:08.482Z,3634,20862,24496,0,0,100.00
2025-05-14T09:20:38.487Z,3664,21036,24700,0,0,100.00
2025-05-14T09:21:08.482Z,3694,21210,24904,0,0,100.00
2025-05-14T09:21:38.487Z,3724,21384,25108,0,0,100.00
2025-05-14T09:22:08.492Z,3753,21546,25299,0,0,100.00
2025-05-14T09:22:38.496Z,3783,21720,25503,0,0,100.00
2025-05-14T09:23:08.497Z,3813,21894,25707,0,0,100.00
2025-05-14T09:23:38.497Z,3843,22068,25911,0,0,100.00
2025-05-14T09:24:08.506Z,3873,22236,26109,0,0,100.00
2025-05-14T09:24:38.514Z,3903,22410,26313,0,0,100.00
2025-05-14T09:25:08.516Z,3933,22584,26517,0,0,100.00
2025-05-14T09:25:38.518Z,3963,22758,26715,0,0,99.98
2025-05-14T09:26:08.530Z,3992,22920,26912,0,0,100.00
2025-05-14T09:26:38.531Z,4022,23094,27116,0,0,100.00
2025-05-14T09:27:08.532Z,4052,23268,27320,0,0,100.00
2025-05-14T09:27:38.533Z,4082,23442,27524,0,0,100.00
2025-05-14T09:28:08.528Z,4112,23605,27715,0,0,99.99
2025-05-14T09:28:38.533Z,4141,23778,27919,0,0,100.00
2025-05-14T09:29:08.544Z,4171,23952,28123,0,0,100.00
2025-05-14T09:29:38.550Z,4201,24126,28327,0,0,100.00
2025-05-14T09:30:08.562Z,4231,24294,28525,0,0,100.00
2025-05-14T09:30:38.563Z,4261,24468,28729,0,0,100.00
2025-05-14T09:31:08.564Z,4290,24636,28926,0,0,100.00
2025-05-14T09:31:38.578Z,4320,24810,29130,0,0,100.00
2025-05-14T09:32:08.590Z,4350,24978,29328,0,0,100.00
2025-05-14T09:32:38.599Z,4380,25152,29532,0,0,100.00
2025-05-14T09:33:08.609Z,4410,25326,29736,0,0,100.00
2025-05-14T09:33:38.619Z,4439,25494,29933,0,0,100.00
2025-05-14T09:34:08.619Z,4469,25662,30131,0,0,100.00
2025-05-14T09:34:38.631Z,4499,25836,30335,0,0,100.00
2025-05-14T09:35:08.638Z,4529,26010,30539,0,0,100.00
2025-05-14T09:35:38.641Z,4559,26184,30743,0,0,100.00
2025-05-14T09:36:08.648Z,4589,26352,30941,0,0,100.00
2025-05-14T09:36:38.662Z,4618,26520,31138,0,0,100.00
2025-05-14T09:37:08.687Z,4648,26694,31342,0,0,100.00
2025-05-14T09:37:38.690Z,4678,26868,31546,0,0,100.00
2025-05-14T09:38:08.691Z,4708,27042,31750,0,0,100.00
2025-05-14T09:38:38.691Z,4738,27210,31948,0,0,100.00
2025-05-14T09:39:08.698Z,4768,27384,32152,0,0,100.00
2025-05-14T09:39:38.706Z,4798,27558,32356,0,0,100.00
2025-05-14T09:40:08.719Z,4827,27726,32553,0,0,100.00
2025-05-14T09:40:38.720Z,4857,27894,32751,0,0,100.00
2025-05-14T09:41:08.721Z,4887,28068,32955,0,0,100.00
2025-05-14T09:41:38.726Z,4917,28242,33159,0,0,100.00
2025-05-14T09:42:08.728Z,4947,28416,33363,0,0,100.00
2025-05-14T09:42:38.728Z,4977,28584,33561,0,0,100.00
2025-05-14T09:43:08.729Z,5006,28752,33758,0,0,100.00
2025-05-14T09:43:38.729Z,5036,28926,33962,0,0,100.00
2025-05-14T09:44:08.724Z,5066,29100,34166,0,0,100.00
2025-05-14T09:44:38.729Z,5096,29268,34364,0,0,100.00
